許可(きょか),permission
ホームステイ先(さき),host family; homestay place
写真(しゃしん),picture; photograph
財布(さいふ),wallet
背(せ),one’s height
アメリカ史(し),American history
弁護士(べんごし),lawyer
別(べつ)に～ない,not particularly
珍(めずら)しい,rare

お兄(にい)さん,(someone else’s) older brother
妹(いもうと)さん,(someone else’s) younger sister
兄(あに),(one’s own) older brother
～に似(に)ている,to resemble (~)
かわいい,cute; lovely

全然(ぜんぜん)～ない,not at all
～かな,I wonder
州都(しゅうと),state capital
人口(じんこう),population
たしか,if I remember correctly
間違(まちが)える,to make a mistake
二番目(にばんめ)に（大(おお)きい）,second (largest)
へえ,Really?; Gee!; You’re kidding.
有名(ゆうめい)（な）,famous

知事(ちじ),governor
湖(みずうみ),lake
冬(ふゆ),winter
春(はる),spring
秋(あき),fall
すばらしい,wonderful; terrific
皆(みな)さん,all of you

求(もと)める,to request; to ask for
駅(えき),train station
遠(とお)い,far
自転車(じてんしゃ),bicycle
借(か)りる,to borrow
偶然(ぐうぜん),by chance
なんて,things like [=などと]
夕食(ゆうしょく),dinner; evening meal
久(ひさ)しぶり,for the first time in a long time

～にする,to decide (on ~); to have/take (~)
Vたところだ,have just done something
本当(ほんとう)に,really; truly
かまいません,it’s all right; one doesn’t mind

末(すえ),end
暖(あたた)かい,pleasantly warm
夏(なつ),summer
Nのように,like N
暑(あつ)い,hot
さえ,even
紅葉(こうよう),fall colors (of leaves)
長(なが)い,long
ごぶさたする,to neglect to write for a long time
その後(あと),since I saw you last; since that time

いつのまにか,before I knew it
たつ,(time) passes
面白(おもしろ)い,interesting
経験(けいけん),experience
速(はや)い,fast; quick
今学期(こんがっき),this semester
だいぶ,fairly well; to a large extent; pretty much
生活(せいかつ),life
～になれる,to be accustomed (to ~)
役(やく)に立(た)つ,to be useful
ひどい,terrible; awful
ショック,shock

～ないで済(す)む,to get by without ~ing
携帯電話(けいたいでんわ),cell phone
電車(でんしゃ),train
～に乗(の)る,to ride (in/on ~)
熱心(ねっしん)に,intently; eagerly
打(う)つ,to type (messages)
助(たす)かる,to be saved; (something) helps
料理(りょうり),cooking; cuisine
体(からだ),body; health
体重(たいじゅう),(body) weight
変(か)わる,to change

仏教(ぶっきょう),Buddhism
新聞記事(しんぶんきじ),newspaper article
漢字(かんじ),Chinese character
～ずつ,~ each
一回(いっかい),per occasion
ずっと,far ~er; by far
～すぎる,to do something too much; too ~
足(た)りる,to be sufficient
～に気(き)をつける,to pay attention to; to take care
～によろしくお伝(つた)えください,Say hello (to ~) for me
